timestamp,size,proto,sport,dport,ttl
1765273309.9422426,89,TCP,443,6849,53
1765273309.9438984,60,TCP,443,6849,53
1765273309.996769,54,TCP,6849,443,64
1765273310.168223,59,TCP,18099,443,64
1765273310.1695664,385,TCP,18099,443,64
1765273310.170785,71,TCP,18099,443,64
1765273310.2110522,60,TCP,443,18099,49
1765273310.2129455,60,TCP,443,18099,49
1765273310.214042,60,TCP,443,18099,49
1765273310.5588565,432,TCP,443,6849,53
1765273310.6024764,54,TCP,6849,443,64
1765273310.760462,59,TCP,18099,443,64
1765273310.7618008,385,TCP,18099,443,64
1765273310.762632,71,TCP,18099,443,64
1765273310.8068655,60,TCP,443,18099,49
1765273310.8082922,60,TCP,443,18099,49
1765273310.8091826,60,TCP,443,18099,49
1765273311.1788578,59,TCP,18099,443,64
1765273311.180571,385,TCP,18099,443,64
1765273311.1817477,71,TCP,18099,443,64
1765273311.2177677,75,UDP,49351,53,64
1765273311.2221155,60,TCP,443,18099,49
1765273311.2236915,60,TCP,443,18099,49
1765273311.2248504,60,TCP,443,18099,49
1765273311.2564273,75,UDP,49351,53,64
1765273311.258815,238,UDP,53,49351,61
1765273311.2709339,238,UDP,53,49351,59
1765273311.2865694,73,UDP,53541,53,64
1765273311.304078,79,UDP,54627,53,64
1765273311.305619,83,UDP,59048,53,64
1765273311.3178766,73,UDP,53541,53,64
1765273311.320242,236,UDP,53,53541,61
1765273311.3218386,66,TCP,21465,80,64
1765273311.3309002,236,UDP,53,53541,59
1765273311.3336344,83,UDP,59048,53,64
1765273311.3351371,79,UDP,54627,53,64
1765273311.3369315,246,UDP,53,59048,61
1765273311.3384898,242,UDP,53,54627,61
1765273311.3392932,66,TCP,21466,80,64
1765273311.3499792,66,TCP,21467,80,64
1765273311.3561387,242,UDP,53,54627,59
1765273311.3581748,246,UDP,53,59048,59
1765273311.7722573,59,TCP,18099,443,64
1765273311.7734883,385,TCP,18099,443,64
1765273311.7743819,71,TCP,18099,443,64
1765273311.8160713,60,TCP,443,18099,49
1765273311.8179128,60,TCP,443,18099,49
1765273311.8189483,60,TCP,443,18099,49
1765273312.1455758,145,TCP,1270,443,64
1765273312.1886556,60,TCP,443,1270,52
1765273312.1913815,59,TCP,18099,443,64
1765273312.1926248,385,TCP,18099,443,64
1765273312.193539,71,TCP,18099,443,64
1765273312.2328448,60,TCP,443,18099,49
1765273312.2346377,60,TCP,443,18099,49
1765273312.2548625,60,TCP,443,18099,49
1765273312.3304927,66,TCP,21465,80,64
1765273312.346276,66,TCP,21466,80,64
1765273312.3623042,66,TCP,21467,80,64
1765273312.4125369,139,TCP,443,1270,52
1765273312.4554455,54,TCP,1270,443,64
1765273312.7044313,86,UDP,5353,5353,1
1765273312.7065868,346,UDP,5353,5353,1
1765273312.7209933,73,UDP,60855,53,64
1765273312.7499945,73,UDP,60855,53,64
1765273312.7520382,233,UDP,53,60855,61
1765273312.7530177,66,TCP,1298,80,64
1765273312.7633014,233,UDP,53,60855,59
1765273312.7816267,59,TCP,18099,443,64
1765273312.7828283,385,TCP,18099,443,64
1765273312.7839973,71,TCP,18099,443,64
1765273312.7998145,80,TCP,443,44811,47
1765273312.8010075,84,TCP,44811,443,64
1765273312.825616,60,TCP,443,18099,49
1765273312.8268824,60,TCP,443,18099,49
1765273312.8283489,60,TCP,443,18099,49
1765273313.0542266,60,TCP,443,44811,47
1765273313.2028234,59,TCP,18099,443,64
1765273313.2042913,385,TCP,18099,443,64
1765273313.2063725,71,TCP,18099,443,64
1765273313.2464085,60,TCP,443,18099,49
1765273313.2476618,60,TCP,443,18099,49
1765273313.2486837,60,TCP,443,18099,49
1765273313.7474723,59,TCP,18099,443,64
1765273313.748644,56,TCP,18099,443,64
1765273313.7497602,71,TCP,18099,443,64
1765273313.7626936,66,TCP,1298,80,64
1765273313.7910814,60,TCP,443,18099,49
